  dTime p-p@dt=0 Derivative
  3.807662165739216E+8         3.52885861603703E+7         5.981517309373442E+6        
  3.907662165739215E+8         3.544365976724818E+7         5.982116433022632E+6        
  4.007662165739215E+8         3.559482940108733E+7         5.982681563805783E+6        
  4.107662165739214E+8         3.574228678290495E+7         5.983228643401689E+6        
  4.207662165739214E+8         3.588620884645755E+7         5.983727349246057E+6        
  4.307662165739214E+8         3.602676206681944E+7         5.984215434288655E+6        
  4.407662165739213E+8         3.61641006063568E+7         5.984680880235337E+6        
  4.557662165739212E+8         3.636439280659358E+7         5.98534750359565E+6        
  4.707662165739211E+8         3.655821955944987E+7         5.985967155935032E+6        
  4.857662165739211E+8         3.674598525571443E+7         5.986547847686893E+6        
  5.007662165739211E+8         3.692805747651299E+7         5.987093198017136E+6        
  5.15766216573921E+8         3.710477133102847E+7         5.987610746474079E+6        
  5.307662165739209E+8         3.727643231259054E+7         5.988099417127722E+6        
  5.457662165739209E+8         3.744332206669412E+7         5.988560868921799E+6        
  5.607662165739207E+8         3.760569879474022E+7         5.988997197327043E+6        
  5.757662165739207E+8         3.77638001810829E+7         5.989403954823914E+6        
  5.907662165739206E+8         3.791784560645897E+7         5.989795162244512E+6        
  6.057662165739205E+8         3.80680379809526E+7         5.990176955905722E+6        
  6.207662165739205E+8         3.821456535305995E+7         5.990530273785273E+6        
  6.357662165739204E+8         3.835760232689748E+7         5.990858932487799E+6        
  6.507662165739204E+8         3.849731131437086E+7         5.991180858081554E+6        
  6.707662165739203E+8         3.867867239365361E+7         5.991594475813289E+6        
  6.907662165739201E+8         3.885471618379159E+7         5.991976557723395E+6        
  7.107662165739201E+8         3.902574566826983E+7         5.992337807467546E+6        
  7.307662165739199E+8         3.919203861424872E+7         5.992679823325185E+6        
  7.507662165739198E+8         3.93538503220203E+7         5.993006333536514E+6        
  7.707662165739198E+8         3.951141598501733E+7         5.993308759292028E+6        
  7.907662165739197E+8         3.966495274780534E+7         5.993601218030497E+6        
  8.107662165739194E+8         3.981466150728782E+7         5.993879433621675E+6        
  8.307662165739194E+8         3.99607282153898E+7         5.994147172563058E+6        
  8.507662165739193E+8         4.010332588694294E+7         5.994393198939186E+6        
  8.707662165739193E+8         4.024261572658755E+7         5.994633566439438E+6        
  8.957662165739191E+8         4.041230393823835E+7         5.9949189069904E+6        
  9.207662165739189E+8         4.057732858346036E+7         5.995196210471131E+6        
  9.457662165739189E+8         4.073793916294024E+7         5.995457978288482E+6        
  9.707662165739194E+8         4.089436567063344E+7         5.995706493108874E+6        
  9.957662165739198E+8         4.104682057604153E+7         0

